mac_id,total_times,total_days
5098501,11,7
5099785,11,9
5100664,11,6
5100958,11,5
5101152,11,5
510140,11,4
5104894,11,3
510536,11,6
5106289,11,3
510643,11,1
5108622,11,3
5108980,11,2
5110379,11,2
5110470,11,1
5111217,11,4
5111235,11,1
5111585,11,2
5112142,11,2
5114243,11,4
5114251,11,1
5114556,11,2
5114792,11,1
5116559,11,6
5117223,11,3
5117724,11,1
5121541,11,7
5123144,11,6
5124124,11,1
512485,11,3
5125265,11,1
5125504,11,1
5130427,11,2
5130949,11,3
5133491,11,1
5133633,11,1
5135030,11,2
5141236,11,2
5143575,11,4
5145489,11,1
5145496,11,7
5145764,11,4
5146577,11,4
5146694,11,7
5152425,11,2
5152685,11,1
5155742,11,2
5157458,11,1
5158255,11,3
515917,11,2
5161033,11,1
5162072,11,1
5164429,11,7
5166479,11,1
5167363,11,4
5168463,11,9
516903,11,6
5169475,11,3
5170728,11,2
5170954,11,4
5171322,11,3
517465,11,6
5177391,11,1
5177408,11,2
5179377,11,2
5179386,11,1
5179684,11,1
5179685,11,1
5180423,11,2
5180686,11,2
5180726,11,3
5180986,11,3
5181876,11,2
5182224,11,1
5194293,11,2
5195113,11,1
5203963,11,1
5203965,11,6
520407,11,5
5204594,11,1
